ID,Main_Part_ID,Secondary_Part_ID,Sheet_Element_ID,Color,Rebrickable_Name,"Official_Name, Category"
C23,32013.0,42127.0,4107085.0,Black,Technic Axle and Pin Connector Angled #1,"Angle Element, 0° [1]",Connectors
C24,32014.0,42155.0,4107767.0,Black,Technic Axle and Pin Connector Angled #6 - 90°,"Angle Element, 90° [6]",Connectors
E47,32015.0,41488.0,4107084.0,Black,Technic Axle and Pin Connector Angled #5 - 112.5°,"Angle Element, 112.5°  [5]",Connectors
E48,32016.0,42128.0,4107082.0,Black,Technic Axle and Pin Connector Angled #3 - 157.5°,"Angle Element, 157.5°. [3]",Connectors
C25,32034.0,42134.0,4107783.0,Black,Technic Axle and Pin Connector Angled #2 - 180°,"Angle Element, 180° [2]",Connectors
E50,32039.0,42135.0,4107081.0,Black,Technic Axle Connector with Axle Hole,Catch W. Cross Hole,Connectors
C26,32054.0,,4140806.0,Bright Red,"Technic Pin Long with Friction Ridges Lengthwise and Stop Bush [3 Lateral Holes, Big Pin Hole]",2M Fric. Snap W/Cross Hole,Connectors
C27,32062.0,,4142865.0,Bright Red,Technic Axle 2 Notched,2M Cross Axle W. Groove,Connectors
C28,32072.0,49135.0,4248204.0,Black,Technic Knob Wheel,Technic Angular Wheel,Gears & Gear Racks
C29,32073.0,,4211639.0,Medium Stone Grey,Technic Axle 5,Cross Axle 5M,Connectors
C30,32123.0,42136.0,4239601.0,Bright Yellow,Technic Bush 1/2 Smooth with Axle Hole Semi-Reduced,1/2 Bush,Connectors
E54,32138.0,65098.0,4119589.0,Black,Technic Pin Double with Axle Hole,Module Bush,Connectors
C31,32140.0,42137.0,4141270.0,Bright Red,Technic Beam 2 x 4 L-Shape Thick,Technic Ang. Beam 4X2 90°,Technic Beams
E55,32140.0,42137.0,4211610.0,Medium Stone Grey,Technic Beam 2 x 4 L-Shape Thick,Technic Ang. Beam 4X2 90°,Technic Beams
C32,32184.0,42142.0,4121667.0,Black,Technic Axle and Pin Connector Perpendicular 3L with Centre Pin Hole,Double Cross Block,Modified Technic Beams
E58,32198.0,,6031962.0,Brick Yellow,Technic Gear 20 Tooth Bevel,"Bevel, Gear Z20",Gears & Gear Racks
C33,32269.0,18575.0,4177430.0,Black,Technic Gear 20 Tooth Double Bevel with Axle Hole Type 2 [X Opening],Double Conical Wheel Z20 1M,Gears & Gear Racks
C34,32270.0,,4177431.0,Black,Technic Gear 12 Tooth Double Bevel,Double Conical Wheel Z12 1M,Gears & Gear Racks
C35,32271.0,42160.0,4211624.0,Medium Stone Grey,Technic Beam 1 x 9 Bent (7 - 3) Thick,Technic Angular Beam 3X7,Technic Beams
C36,32278.0,64871.0,4542578.0,White,Technic Beam 1 x 15 Thick,Technic 15M Beam,Technic Beams
